3	10.6335	0.296125
4	10.7119	0.223604
6	10.7789	0.148116
7	10.7884	0.125543
9	10.4551	0.241727
11	10.5462	0.262742
14	10.4948	0.207232
18	10.5158	0.172117
23	10.6247	0.18834
29	10.6195	0.156005
37	10.5914	0.133065
48	10.5163	0.123966
62	10.4748	0.108253
80	10.5231	0.0910343
104	10.5117	0.080602
135	10.5048	0.0679411
175	10.5447	0.0627809
227	10.586	0.0558494
295	10.6098	0.0486552
383	10.5619	0.043282
497	10.525	0.0373833
646	10.5102	0.0328895
839	10.5205	0.0282425
1090	10.4959	0.0249817
1417	10.5053	0.0220243
1842	10.5074	0.0193325
2394	10.4893	0.0170133
3112	10.4946	0.014925
