3	1.70775	0.166608
4	1.67872	0.121335
6	1.60114	0.0987368
7	1.56953	0.0892334
9	1.5706	0.0705644
11	1.5618	0.0577071
14	1.56984	0.0476093
18	1.55603	0.0410298
23	1.55412	0.0367195
29	1.52367	0.0330536
37	1.52469	0.0302752
48	1.53788	0.0269104
62	1.52387	0.0248524
80	1.5135	0.0229647
104	1.51584	0.0195926
135	1.51364	0.0171253
175	1.51151	0.0154653
227	1.51389	0.0135706
295	1.50208	0.0118177
383	1.4966	0.00997471
497	1.49689	0.00869605
646	1.50372	0.0075709
839	1.50351	0.00658086
1090	1.50077	0.00568835
1417	1.50312	0.00503372
1842	1.50176	0.00446127
2394	1.50184	0.00394389
3112	1.50157	0.00344452
