3	-0.497283	0.0149342
4	-0.493019	0.0113888
6	-0.473228	0.0147907
7	-0.473438	0.0125021
9	-0.471341	0.0107485
11	-0.479245	0.0112605
14	-0.474255	0.0106662
18	-0.462128	0.012277
23	-0.451965	0.0141284
29	-0.451638	0.0124857
37	-0.444518	0.0128068
48	-0.445009	0.0110251
62	-0.450529	0.00952975
80	-0.452385	0.00812356
104	-0.447346	0.00744023
135	-0.444176	0.00634077
175	-0.441281	0.00583714
227	-0.440305	0.00494833
295	-0.438188	0.0043007
383	-0.437833	0.00386022
497	-0.439017	0.00332744
646	-0.437812	0.00303982
839	-0.438713	0.00273953
1090	-0.440673	0.00229853
1417	-0.439421	0.00213867
1842	-0.439215	0.00188779
2394	-0.438547	0.00163466
3112	-0.438038	0.00147673
4045	-0.43709	0.0012929
5258	-0.437718	0.00110677
6835	-0.437791	0.000955429
8885	-0.437287	0.000849186
