0.1	2500	0
0.198	2500	0
0.296	2499.97	0.0218915
0.394	2451.89	10.099
0.492	2003.4	34.2295
0.59	1408.49	33.0527
0.688	907.33	23.7138
0.786	634.051	14.1338
0.884	478.502	9.51044
0.982	377.541	6.88877
1.08	318.548	4.92414
1.178	269.972	3.96629
1.276	243.548	2.91159
1.374	211.367	2.51016
1.472	193.842	2.2747
1.57	174.488	1.89368
1.668	166.845	1.6726
1.766	157.019	1.60582
1.864	144.719	1.48231
1.962	139.244	1.40257
2.06	131.2	1.31495
2.158	127.553	1.24903
2.256	123.426	1.19038
2.354	118.068	1.12321
2.452	111.736	1.12099
2.55	110.266	1.14139
2.648	104.608	0.985495
2.746	101.947	0.978208
2.844	100.328	1.02082
2.942	98.4984	0.953018
3.04	96.8716	0.917692
3.138	93.8812	0.904451
3.236	91.1656	0.906545
3.334	90.9716	0.947176
3.432	89.1032	0.863828
3.53	88.3604	0.818911
3.628	86.9724	0.838316
3.726	85.4876	0.843969
3.824	84.5262	0.795607
3.922	82.5626	0.794769
4.02	82.673	0.859381
4.118	80.5022	0.772722
4.216	80.6826	0.808219
4.314	79.1392	0.79573
4.412	79.233	0.791704
4.51	78.5556	0.751348
4.608	75.8184	0.682546
4.706	77.1624	0.798538
4.804	76.8472	0.79746
4.902	74.0132	0.690509
5	74.066	0.711834
