0.1	0	0
0.198	0	0
0.296	0.0456423	1.09581
0.394	7.30132	28.6989
0.492	14.5829	27.5927
0.59	21.3696	23.0862
0.688	20.2919	12.8948
0.786	21.6426	8.19962
0.884	22.1966	6.14933
0.982	21.2958	4.1219
1.08	20.1708	2.95889
1.178	18.583	2.24157
1.276	17.3873	1.82742
1.374	16.2091	1.45003
1.472	15.1109	1.24084
1.57	13.7341	1.01499
1.668	12.8553	0.848544
1.766	11.7754	0.751956
1.864	10.9811	0.649863
1.962	10.2259	0.58191
2.06	9.44678	0.459533
2.158	8.71741	0.432163
2.256	8.10837	0.386396
2.354	7.65605	0.357159
2.452	7.08253	0.309736
2.55	6.63384	0.267387
2.648	6.24557	0.235417
2.746	5.89915	0.226076
2.844	5.48656	0.207765
2.942	5.14601	0.180738
3.04	4.94916	0.16636
3.138	4.53847	0.156538
3.236	4.41021	0.141331
3.334	4.07463	0.128374
3.432	3.84604	0.114814
3.53	3.72993	0.110818
3.628	3.50457	0.107197
3.726	3.35635	0.0937649
3.824	3.197	0.0908765
3.922	3.01675	0.0839507
4.02	2.93203	0.0791888
4.118	2.79864	0.0701113
4.216	2.62145	0.0665716
4.314	2.59773	0.0629507
4.412	2.43058	0.0637123
4.51	2.30784	0.0560735
4.608	2.22772	0.0494818
4.706	2.16214	0.0495021
4.804	2.08322	0.0458868
4.902	2.00792	0.0453093
5	1.91334	0.0432063
